cast,cast_id,cast_url,certificate,director,director_id,director_url,genre,gross,metascore,movie_id,movie_name,movie_url,plot,poster,rating,runtime,votes,year
"Beanie Feldstein,Cleo,Donal Finn,Paddy Considine","nm2788156,nm11562661,nm10183690,nm0175916","https://www.imdb.com/name/nm2788156,https://www.imdb.com/name/nm11562661,https://www.imdb.com/name/nm10183690,https://www.imdb.com/name/nm0175916",R,Coky Giedroyc,nm0317328,https://www.imdb.com/name/nm0317328,Comedy,,70        ,tt4193072,How to Build a Girl,https://www.imdb.com/title/tt4193072,"A teenager living with her working-class family on a council estate in Wolverhampton, England, grows up to become a popular but conflicted music journalist.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,5.5,102 min,751,2019
"Nicolas Cage,Famke Janssen,Kevin Durand,Jeremy Nazario","nm0000115,nm0000463,nm0243806,nm5138610","https://www.imdb.com/name/nm0000115,https://www.imdb.com/name/nm0000463,https://www.imdb.com/name/nm0243806,https://www.imdb.com/name/nm5138610",R,Nick Powell,nm0694249,https://www.imdb.com/name/nm0694249,Action,,32        ,tt7394816,Primal,https://www.imdb.com/title/tt7394816,Frank's caught wildlife in the Brazilian jungle incl. a 400 lbs. white jaguar. He ships it on the same ship as an arrested assassin. The assassin breaks free and frees the animals.,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,4.8,97 min,3503,2019
"Dina Meyer,Giancarlo Esposito,Aaron Eckhart,Courtney Eaton","nm0000539,nm0002064,nm0001173,nm5196907","https://www.imdb.com/name/nm0000539,https://www.imdb.com/name/nm0002064,https://www.imdb.com/name/nm0001173,https://www.imdb.com/name/nm5196907",R,Steven C. Miller,nm1921345,https://www.imdb.com/name/nm1921345,"Action,Crime,Thriller",,50        ,tt3541524,Line of Duty,https://www.imdb.com/title/tt3541524,A disgraced cop finds himself in a race against time to find a kidnap victim whose abductor he accidentally killed.,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,5.3,98 min,2203,2019
"Travis Fimmel,Toby Blome,Alexander England,Aaron Glenane","nm1379938,nm9826817,nm1542397,nm2527406","https://www.imdb.com/name/nm1379938,https://www.imdb.com/name/nm9826817,https://www.imdb.com/name/nm1542397,https://www.imdb.com/name/nm2527406",R,Kriv Stenders,nm0826541,https://www.imdb.com/name/nm0826541,"Action,Drama,War",,,tt0441881,Danger Close,https://www.imdb.com/title/tt0441881,"In August 1966, in a Vietnamese rubber plantation called Long Tan, 108 young and inexperienced Australian and New Zealand soldiers are fighting for their lives against 2500 North Vietnamese and Viet Cong soldiers.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,6.9,118 min,6918,2019
"Linda Cardellini,Raymond Cruz,Patricia Velasquez,Marisol Ramirez","nm0004802,nm0190441,nm0892383,nm1581544","https://www.imdb.com/name/nm0004802,https://www.imdb.com/name/nm0190441,https://www.imdb.com/name/nm0892383,https://www.imdb.com/name/nm1581544",R,Michael Chaves,nm1980431,https://www.imdb.com/name/nm1980431,"Horror,Mystery,Thriller",$54.73M,41        ,tt4913966,The Curse of la Llorona,https://www.imdb.com/title/tt4913966,"Ignoring the eerie warning of a troubled mother suspected of child endangerment, a social worker and her own small kids are soon drawn into a frightening supernatural realm.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,5.3,93 min,33094,2019
"Olivia Cooke,Riz Ahmed,Mathieu Amalric,Lauren Ridloff","nm4972453,nm1981893,nm0023832,nm4248765","https://www.imdb.com/name/nm4972453,https://www.imdb.com/name/nm1981893,https://www.imdb.com/name/nm0023832,https://www.imdb.com/name/nm4248765",R,Darius Marder,nm2942187,https://www.imdb.com/name/nm2942187,"Drama,Music",,87        ,tt5363618,Sound of Metal,https://www.imdb.com/title/tt5363618,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,6.9,130 min,279,2019
"Koen De Bouw,Thure Riefenstein,Ella-June Henrard,Joren Seldeslachts","nm0100460,nm0726167,nm3616170,nm0783034","https://www.imdb.com/name/nm0100460,https://www.imdb.com/name/nm0726167,https://www.imdb.com/name/nm3616170,https://www.imdb.com/name/nm0783034",,Sven Huybrechts,nm0404748,https://www.imdb.com/name/nm0404748,"Action,Adventure,History",,,tt8829128,Torpedo,https://www.imdb.com/title/tt8829128,"During the height of World War II, commander Stan and a courageous group of resistance fighters are given a suicide mission to deliver a stolen Nazi submarine filled with atomic uranium. ...",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,6.3,102 min,1057,2019
"Sofia Buenaventura,Julian Giraldo,Karen Quintero,Laura Castrillon","nm9304766,nm11187715,nm9304769,nm7288990","https://www.imdb.com/name/nm9304766,https://www.imdb.com/name/nm11187715,https://www.imdb.com/name/nm9304769,https://www.imdb.com/name/nm7288990",R,Alejandro Landes,nm1622258,https://www.imdb.com/name/nm1622258,"Adventure,Drama,Thriller",,78        ,tt6062774,Monos,https://www.imdb.com/title/tt6062774,"On a remote mountaintop, eight kids with guns watch over a hostage and a conscripted milk cow.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,7.1,102 min,10154,2019
"Jason Flemyng,Xingtong Yao,Anna Churina,Jackie Chan","nm0002076,nm4080670,nm1651354,nm0000329","https://www.imdb.com/name/nm0002076,https://www.imdb.com/name/nm4080670,https://www.imdb.com/name/nm1651354,https://www.imdb.com/name/nm0000329",,Oleg Stepchenko,nm1897071,https://www.imdb.com/name/nm1897071,"Action,Adventure,Family",,,tt6218010,Journey to China: The Mystery of Iron Mask,https://www.imdb.com/title/tt6218010,Early 1700: Cartographer Jonathan Green (Jason Flemyng) from,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,4.7,120 min,1433,2019
"Tim Matheson,Ben Andrusco-Daon,Zahra Anderson,Serge Jaswal","nm0001513,nm9354402,nm4530746,nm2114724","https://www.imdb.com/name/nm0001513,https://www.imdb.com/name/nm9354402,https://www.imdb.com/name/nm4530746,https://www.imdb.com/name/nm2114724",R,Lars Klevberg,nm2209002,https://www.imdb.com/name/nm2209002,"Horror,Sci-Fi",$29.21M,48        ,tt8663516,Child's Play,https://www.imdb.com/title/tt8663516,"A mother gives her 13-year-old son a toy doll for his birthday, unaware of its more sinister nature.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,5.8,90 min,38014,2019
"Jason Schwartzman,J.K. Simmons,Rashida Jones,Will Sasso","nm0005403,nm0799777,nm0429069,nm0766005","https://www.imdb.com/name/nm0005403,https://www.imdb.com/name/nm0799777,https://www.imdb.com/name/nm0429069,https://www.imdb.com/name/nm0766005",PG,"Carlos Martinez Lopez,Sergio Pablos","nm3582089,nm0655053","https://www.imdb.com/name/nm3582089,https://www.imdb.com/name/nm0655053","Animation,Adventure,Comedy",,65        ,tt4729430,Klaus,https://www.imdb.com/title/tt4729430,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,8.2,96 min,69688,2019
"Griffin Gluck,Emily Arlook,Michael Devine,Pete Davidson","nm3838034,nm1354288,nm1470498,nm0203457","https://www.imdb.com/name/nm3838034,https://www.imdb.com/name/nm1354288,https://www.imdb.com/name/nm1470498,https://www.imdb.com/name/nm0203457",R,Jason Orley,nm3753276,https://www.imdb.com/name/nm3753276,Comedy,,64        ,tt3824648,Big Time Adolescence,https://www.imdb.com/title/tt3824648,"A suburban teenager comes of age under the destructive guidance of his best friend, an aimless college dropout.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,7,91 min,3456,2019
"Olivia Thirlby,Alan Ritchson,Jim Gaffigan,Maria Dizzia","nm1880888,nm2024927,nm0300712,nm1978694","https://www.imdb.com/name/nm1880888,https://www.imdb.com/name/nm2024927,https://www.imdb.com/name/nm0300712,https://www.imdb.com/name/nm1978694",,Claudia Myers,nm0616673,https://www.imdb.com/name/nm0616673,"Drama,Fantasy,Romance",,,tt4622682,Above the Shadows,https://www.imdb.com/title/tt4622682,A young woman who has faded to the point of becoming invisible must find her way back with the help of the one man who can see her.,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,5.8,111 min,1422,2019
"Rosamund Pike,Sam Riley,Cara Bossom,Aneurin Barnard","nm0683253,nm0727165,nm9057443,nm2902567","https://www.imdb.com/name/nm0683253,https://www.imdb.com/name/nm0727165,https://www.imdb.com/name/nm9057443,https://www.imdb.com/name/nm2902567",PG-13,Marjane Satrapi,nm2277869,https://www.imdb.com/name/nm2277869,"Biography,Drama,Romance",,53        ,tt6017756,Radioactive,https://www.imdb.com/title/tt6017756,"A story of the scientific and romantic passions of Marie Sklodowska-Curie (Polish scientist) and Pierre Curie, and the reverberation of their discoveries throughout the 20th century.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,5.9,109 min,1093,2019
"Stephen Odubola,Micheal Ward,Khali Best,Karla-Simone Spence","nm7873700,nm7906702,nm5434653,nm7951677","https://www.imdb.com/name/nm7873700,https://www.imdb.com/name/nm7906702,https://www.imdb.com/name/nm5434653,https://www.imdb.com/name/nm7951677",R,Rapman,nm4769455,https://www.imdb.com/name/nm4769455,"Crime,Drama",,69        ,tt9285882,Blue Story,https://www.imdb.com/title/tt9285882,Feature adaptation of Rapman's YouTube series about two young friends who become rivals in a street war.,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,5.7,91 min,1888,2019
"Shailene Woodley,Jamie Dornan,Sebastian Stan,Matthew Gray Gubler","nm0940362,nm1946193,nm1659221,nm1131557","https://www.imdb.com/name/nm0940362,https://www.imdb.com/name/nm1946193,https://www.imdb.com/name/nm1659221,https://www.imdb.com/name/nm1131557",Unrated,Drake Doremus,nm2035886,https://www.imdb.com/name/nm2035886,Drama,,41        ,tt9147456,"Endings, Beginnings",https://www.imdb.com/title/tt9147456,"A 30-something woman navigating through love and heartbreak over the course of one year. During that time, she will unlock the secrets to her life in a sudden turn of events and in the most surprising of places.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,5.8,110 min,1117,2019
"John Cena,Keegan-Michael Key,John Leguizamo,Tyler Mane","nm1078479,nm1221047,nm0000491,nm0541932","https://www.imdb.com/name/nm1078479,https://www.imdb.com/name/nm1221047,https://www.imdb.com/name/nm0000491,https://www.imdb.com/name/nm0541932",PG,Andy Fickman,nm0275698,https://www.imdb.com/name/nm0275698,"Comedy,Family",,24        ,tt9134216,Playing with Fire,https://www.imdb.com/title/tt9134216,A crew of rugged firefighters meet their match when attempting to rescue three rambunctious kids.,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,4.9,96 min,7866,2019
"Rebel Wilson,Liam Hemsworth,Adam Devine,Priyanka Chopra","nm2313103,nm2955013,nm2796745,nm1231899","https://www.imdb.com/name/nm2313103,https://www.imdb.com/name/nm2955013,https://www.imdb.com/name/nm2796745,https://www.imdb.com/name/nm1231899",PG-13,Todd Strauss-Schulson,nm0833889,https://www.imdb.com/name/nm0833889,"Comedy,Fantasy,Romance",$48.79M,60        ,tt2452244,Isn't It Romantic,https://www.imdb.com/title/tt2452244,A young woman disenchanted with love mysteriously finds herself trapped inside a romantic comedy.,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,5.9,89 min,58435,2019
"Chiwetel Ejiofor,Maxwell Simba,Felix Lemburo,Robert Agengo","nm0252230,nm9357186,nm10512051,nm3797554","https://www.imdb.com/name/nm0252230,https://www.imdb.com/name/nm9357186,https://www.imdb.com/name/nm10512051,https://www.imdb.com/name/nm3797554",TV-PG,Chiwetel Ejiofor,nm0252230,https://www.imdb.com/name/nm0252230,Drama,,68        ,tt7533152,The Boy Who Harnessed the Wind,https://www.imdb.com/title/tt7533152,"Against all the odds, a thirteen year old boy in Malawi invents an unconventional way to save his family and village from famine.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,7.6,113 min,21768,2019
"Jesse Eisenberg,Alessandro Nivola,Imogen Poots,Steve Terada","nm0251986,nm0005273,nm1782299,nm2057533","https://www.imdb.com/name/nm0251986,https://www.imdb.com/name/nm0005273,https://www.imdb.com/name/nm1782299,https://www.imdb.com/name/nm2057533",R,Riley Stearns,nm2720681,https://www.imdb.com/name/nm2720681,"Comedy,Crime,Drama",$2.41M,65        ,tt7339248,The Art of Self-Defense,https://www.imdb.com/title/tt7339248,"After being attacked on the street, a young man enlists at a local dojo, led by a charismatic and mysterious sensei, in an effort to learn how to defend himself from future threats.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,6.7,104 min,22781,2019
"Joel Hogan,Alicia Leigh Willis,Donald Prabatah,Jeff Prater","nm3187567,nm0932265,nm7279311,nm7156835","https://www.imdb.com/name/nm3187567,https://www.imdb.com/name/nm0932265,https://www.imdb.com/name/nm7279311,https://www.imdb.com/name/nm7156835",,Marcus Mizelle,nm2826001,https://www.imdb.com/name/nm2826001,"Crime,Thriller",,,tt6418996,Chameleon,https://www.imdb.com/title/tt6418996,A struggling ex-con and his unpredictable accomplice scam superficial trophy wives and their rich older husbands in self-obsessed Los Angeles.,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,6.7,80 min,998,2019
"David Oyelowo,Storm Reid,Mykelti Williamson,Alfred Molina","nm0654648,nm4977564,nm0932112,nm0000547","https://www.imdb.com/name/nm0654648,https://www.imdb.com/name/nm4977564,https://www.imdb.com/name/nm0932112,https://www.imdb.com/name/nm0000547",R,Jacob Estes,nm1096524,https://www.imdb.com/name/nm1096524,"Drama,Horror,Mystery",$4.69M,49        ,tt6803212,Don't Let Go,https://www.imdb.com/title/tt6803212,"After a man's family dies in what appears to be a murder, he gets a phone call from one of the dead, his niece. He's not sure if she's a ghost or if he's going mad, but as it turns out, he's not.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,6.2,103 min,3933,2019
"Ali Wong,Randall Park,James Saito,Michelle Buteau","nm4399227,nm1320827,nm0756839,nm2345104","https://www.imdb.com/name/nm4399227,https://www.imdb.com/name/nm1320827,https://www.imdb.com/name/nm0756839,https://www.imdb.com/name/nm2345104",PG-13,Nahnatchka Khan,nm0451274,https://www.imdb.com/name/nm0451274,"Comedy,Romance",,64        ,tt7374948,Always Be My Maybe,https://www.imdb.com/title/tt7374948,"Everyone assumed Sasha and Marcus would wind up together except for Sasha and Marcus. Reconnecting after 15 years, the two start to wonder - maybe?",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,6.8,101 min,41170,2019
"Cate Blanchett,Billy Crudup,Emma Nelson,Kristen Wiig","nm0000949,nm0001082,nm8625874,nm1325419","https://www.imdb.com/name/nm0000949,https://www.imdb.com/name/nm0001082,https://www.imdb.com/name/nm8625874,https://www.imdb.com/name/nm1325419",PG-13,Richard Linklater,nm0000500,https://www.imdb.com/name/nm0000500,"Comedy,Drama",$9.20M,51        ,tt2365580,"Where'd You Go, Bernadette",https://www.imdb.com/title/tt2365580,A loving mom becomes compelled to reconnect with her creative passions after years of sacrificing herself for her family. Her leap of faith takes her on an epic adventure that jump-starts her life and leads to her triumphant rediscovery.,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,6.5,109 min,12256,2019
"Aga Muhlach,Bela Padilla,Xia Vigor,Joel Torre","nm0611285,nm2685020,nm8136360,nm0868381","https://www.imdb.com/name/nm0611285,https://www.imdb.com/name/nm2685020,https://www.imdb.com/name/nm8136360,https://www.imdb.com/name/nm0868381",,Nuel C. Naval,nm0622734,https://www.imdb.com/name/nm0622734,Drama,,,tt10845262,Miracle in Cell No. 7,https://www.imdb.com/title/tt10845262,"Joselito (Aga Muhlach), an intellectually disabled man who is wrongfully charged with sexual assault, kidnapping and murder of a little girl. In prison he becomes friends with his fellow ...",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,7.5,120 min,1397,2019
"John Goodman,Ashton Sanders,Jonathan Majors,Vera Farmiga","nm0000422,nm5480894,nm3718007,nm0267812","https://www.imdb.com/name/nm0000422,https://www.imdb.com/name/nm5480894,https://www.imdb.com/name/nm3718007,https://www.imdb.com/name/nm0267812",PG-13,Rupert Wyatt,nm1012501,https://www.imdb.com/name/nm1012501,"Action,Adventure,Drama",$5.96M,54        ,tt5968394,Captive State,https://www.imdb.com/title/tt5968394,"Set in a Chicago neighborhood nearly a decade after an occupation by an extraterrestrial force, 'Captive State' explores the lives on both sides of the conflict - the collaborators and dissidents.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,6,109 min,44904,2019
"Petr Kotlar,Nina Sunevic,Alla Sokolova,Stanislav Bilyi","nm8746600,nm8834865,nm0812485,nm11548282","https://www.imdb.com/name/nm8746600,https://www.imdb.com/name/nm8834865,https://www.imdb.com/name/nm0812485,https://www.imdb.com/name/nm11548282",,Vaclav Marhoul,nm0546905,https://www.imdb.com/name/nm0546905,"Drama,War",,75        ,tt1667354,The Painted Bird,https://www.imdb.com/title/tt1667354,A young Jewish boy somewhere in Eastern Europe seeks refuge during World War II where he encounters many different characters.,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,7.3,169 min,1604,2019
"Natalie Portman,Jon Hamm,Zazie Beetz,Dan Stevens","nm0000204,nm0358316,nm5939164,nm1405398","https://www.imdb.com/name/nm0000204,https://www.imdb.com/name/nm0358316,https://www.imdb.com/name/nm5939164,https://www.imdb.com/name/nm1405398",R,Noah Hawley,nm1279638,https://www.imdb.com/name/nm1279638,"Drama,Sci-Fi",,36        ,tt4682804,Lucy in the Sky,https://www.imdb.com/title/tt4682804,"Astronaut Lucy Cola returns to Earth after a transcendent experience during a mission to space, and begins to lose touch with reality in a world that now seems too small.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,4.7,124 min,3576,2019
"Chris Pratt,Elizabeth Banks,Will Arnett,Tiffany Haddish","nm0695435,nm0006969,nm0004715,nm1840504","https://www.imdb.com/name/nm0695435,https://www.imdb.com/name/nm0006969,https://www.imdb.com/name/nm0004715,https://www.imdb.com/name/nm1840504",PG,Mike Mitchell,nm0593610,https://www.imdb.com/name/nm0593610,"Animation,Action,Adventure",$105.81M,65        ,tt3513498,The Lego Movie 2: The Second Part,https://www.imdb.com/title/tt3513498,"It's been five years since everything was awesome and the citizens are facing a huge new threat: Lego Duplo invaders from outer space, wrecking everything faster than they can rebuild.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,6.6,107 min,49612,2019
"Angus Macfadyen,Anna Hutchison,Zach McGowan,Gabriel Bateman","nm0005171,nm0404307,nm2090702,nm5145655","https://www.imdb.com/name/nm0005171,https://www.imdb.com/name/nm0404307,https://www.imdb.com/name/nm2090702,https://www.imdb.com/name/nm5145655",,Richard Gray,nm3413681,https://www.imdb.com/name/nm3413681,"Action,History",,42        ,tt8000908,Robert the Bruce,https://www.imdb.com/title/tt8000908,The story of the nobleman-turned-outlaw hero who was crowned king of Scots in the 14th century.,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,5.3,124 min,1386,2019
"Katie Stevens,Will Brittain,Lauryn Alisa McClain,Andrew Lewis Caldwell","nm3775423,nm4311291,nm2055160,nm2255271","https://www.imdb.com/name/nm3775423,https://www.imdb.com/name/nm4311291,https://www.imdb.com/name/nm2055160,https://www.imdb.com/name/nm2255271",R,"Bryan Woods,Scott Beck","nm1456816,nm1399714","https://www.imdb.com/name/nm1456816,https://www.imdb.com/name/nm1399714","Horror,Thriller",,69        ,tt6535880,Haunt,https://www.imdb.com/title/tt6535880,"On Halloween, a group of friends encounter an ""extreme"" haunted house that promises to feed on their darkest fears. The night turns deadly as they come to the horrifying realization that some nightmares are real.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,6.3,92 min,14599,2019
"Charlie Shotwell,Kelly Reilly,Max Martini,Lili Taylor","nm6339026,nm0717709,nm0242882,nm0000666","https://www.imdb.com/name/nm6339026,https://www.imdb.com/name/nm0717709,https://www.imdb.com/name/nm0242882,https://www.imdb.com/name/nm0000666",R,Ciaran Foy,nm1164602,https://www.imdb.com/name/nm1164602,Horror,,,tt5294518,Eli,https://www.imdb.com/title/tt5294518,A boy receiving treatment for his auto-immune disorder discovers that the house he's living in isn't as safe as he thought.,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,5.7,98 min,24873,2019
"Katie Findlay,Tracie Thoms,Randall Park,Betsy Brandt","nm3818748,nm1139632,nm1320827,nm1336827","https://www.imdb.com/name/nm3818748,https://www.imdb.com/name/nm1139632,https://www.imdb.com/name/nm1320827,https://www.imdb.com/name/nm1336827",,James Sweeney,nm4007200,https://www.imdb.com/name/nm4007200,"Comedy,Romance",,65        ,tt8855960,Straight Up,https://www.imdb.com/title/tt8855960,Todd and Rory are intellectual soul mates. He might be gay. She might not care. A romantic-comedy drama with a twist; a love story without the thrill of copulation.,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,6.2,95 min,343,2019
"Jake Gyllenhaal,Rene Russo,Zawe Ashton,Tom Sturridge","nm0350453,nm0000623,nm1534698,nm0836432","https://www.imdb.com/name/nm0350453,https://www.imdb.com/name/nm0000623,https://www.imdb.com/name/nm1534698,https://www.imdb.com/name/nm0836432",R,Dan Gilroy,nm0319659,https://www.imdb.com/name/nm0319659,"Horror,Mystery,Thriller",,61        ,tt7043012,Velvet Buzzsaw,https://www.imdb.com/title/tt7043012,"A satire set in the contemporary art world scene of Los Angeles, where big money artists and mega-collectors pay a high price when art collides with commerce.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,5.7,113 min,50194,2019
"Mariana Di Girolamo,Gael Garcia Bernal,Santiago Cabrera,Paola Giannini","nm6797988,nm0305558,nm1085051,nm1415658","https://www.imdb.com/name/nm6797988,https://www.imdb.com/name/nm0305558,https://www.imdb.com/name/nm1085051,https://www.imdb.com/name/nm1415658",,Pablo Larrain,nm1883257,https://www.imdb.com/name/nm1883257,"Drama,Music",,71        ,tt8800266,Ema,https://www.imdb.com/title/tt8800266,A couple deals with the aftermath of an adoption that goes awry as their household falls apart.,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,6.8,107 min,3401,2019
"Jessica Rothe,Israel Broussard,Phi Vu,Suraj Sharma","nm1557329,nm3441152,nm7059572,nm4139037","https://www.imdb.com/name/nm1557329,https://www.imdb.com/name/nm3441152,https://www.imdb.com/name/nm7059572,https://www.imdb.com/name/nm4139037",PG-13,Christopher Landon,nm0484907,https://www.imdb.com/name/nm0484907,"Comedy,Horror,Mystery",$28.05M,57        ,tt8155288,Happy Death Day 2U,https://www.imdb.com/title/tt8155288,Tree Gelbman discovers that dying over and over was surprisingly easier than the dangers that lie ahead.,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,6.2,100 min,50149,2019
"Ava Michelle,Griffin Gluck,Sabrina Carpenter,Paris Berelc","nm6433012,nm3838034,nm4248775,nm5514372","https://www.imdb.com/name/nm6433012,https://www.imdb.com/name/nm3838034,https://www.imdb.com/name/nm4248775,https://www.imdb.com/name/nm5514372",TV-PG,Nzingha Stewart,nm1971220,https://www.imdb.com/name/nm1971220,Comedy,,,tt9252508,Tall Girl,https://www.imdb.com/title/tt9252508,"Jodi, the tallest girl in her high school, has always felt uncomfortable in her own skin. But after years of slouching, being made fun of, and avoiding attention at all costs, Jodi finally decides to find the confidence to stand tall.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,5.2,101 min,15145,2019
"John Travolta,Morgan Freeman,Brendan Fraser,Famke Janssen","nm0000237,nm0000151,nm0000409,nm0000463","https://www.imdb.com/name/nm0000237,https://www.imdb.com/name/nm0000151,https://www.imdb.com/name/nm0000409,https://www.imdb.com/name/nm0000463",R,"George Gallo,Francesco Cinquemani","nm0303032,nm4209533","https://www.imdb.com/name/nm0303032,https://www.imdb.com/name/nm4209533",Thriller,,30        ,tt5862166,The Poison Rose,https://www.imdb.com/title/tt5862166,"Inspired by classic film noir, Carson Phillips, an ex-football star turned PI, has a soft spot for a lady in distress.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,4.7,98 min,5047,2019
"C.M. Punk,Trieste Kelly Dunn,Sarah Brooks,Elissa Dowling","nm1516006,nm0242654,nm4834072,nm2233462","https://www.imdb.com/name/nm1516006,https://www.imdb.com/name/nm0242654,https://www.imdb.com/name/nm4834072,https://www.imdb.com/name/nm2233462",TV-MA,Travis Stevens,nm1705857,https://www.imdb.com/name/nm1705857,"Drama,Horror,Mystery",,65        ,tt9026184,Girl on the Third Floor,https://www.imdb.com/title/tt9026184,"Don Koch tries to renovate a rundown mansion with a sordid history for his growing family, only to learn that the house has other plans.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,4.6,93 min,6457,2019
"Imogen Poots,Neve Campbell,Alex Wolff,Tom Cullen","nm1782299,nm0000117,nm1842974,nm3665787","https://www.imdb.com/name/nm1782299,https://www.imdb.com/name/nm0000117,https://www.imdb.com/name/nm1842974,https://www.imdb.com/name/nm3665787",,Joey Klein,nm1585729,https://www.imdb.com/name/nm1585729,Drama,,53        ,tt3689484,Castle in the Ground,https://www.imdb.com/title/tt3689484,"After the untimely death of his mother, a teenager befriends his charismatic but troubled next-door neighbor and becomes embroiled in a world of addiction and violence just as the opioid epidemic takes hold of their small town.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,5.4,105 min,385,2019
"Samuel L. Jackson,Jessie T. Usher,Richard Roundtree,Regina Hall","nm0000168,nm1900772,nm0745780,nm0356021","https://www.imdb.com/name/nm0000168,https://www.imdb.com/name/nm1900772,https://www.imdb.com/name/nm0745780,https://www.imdb.com/name/nm0356021",R,Tim Story,nm1103162,https://www.imdb.com/name/nm1103162,"Action,Comedy,Crime",$21.36M,40        ,tt4463894,Shaft,https://www.imdb.com/title/tt4463894,"JJ Shaft, a cyber security expert with a degree from MIT, enlists his family's help to uncover the truth behind his best friend's untimely death.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,6.4,111 min,39986,2019
