cast,cast_id,cast_url,certificate,director,director_id,director_url,genre,gross,metascore,movie_id,movie_name,movie_url,plot,poster,rating,runtime,votes,year
"Jason Clarke,Amy Seimetz,John Lithgow,Jete Laurence","nm0164809,nm1541272,nm0001475,nm5503448","https://www.imdb.com/name/nm0164809,https://www.imdb.com/name/nm1541272,https://www.imdb.com/name/nm0001475,https://www.imdb.com/name/nm5503448",R,"Dennis Widmyer,Kevin Kolsch","nm1552637,nm1556116","https://www.imdb.com/name/nm1552637,https://www.imdb.com/name/nm1556116","Horror,Mystery,Thriller",$54.72M,57        ,tt0837563,Pet Sematary,https://www.imdb.com/title/tt0837563,"Dr. Louis Creed and his wife, Rachel, relocate from Boston to rural Maine with their two young children. The couple soon discover a mysterious burial ground hidden deep in the woods near their new home.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,5.7,101 min,73880,2019
"Liam Neeson,Laura Dern,Micheal Richardson,Michael Eklund","nm0000553,nm0000368,nm6183410,nm1002664","https://www.imdb.com/name/nm0000553,https://www.imdb.com/name/nm0000368,https://www.imdb.com/name/nm6183410,https://www.imdb.com/name/nm1002664",R,Hans Petter Moland,nm0596407,https://www.imdb.com/name/nm0596407,"Action,Crime,Drama",$32.14M,57        ,tt5719748,Cold Pursuit,https://www.imdb.com/title/tt5719748,A grieving snowplow driver seeks out revenge against the drug dealers who killed his son.,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,6.2,119 min,51977,2019
"Tessa Thompson,Justin Theroux,Sam Elliott,Ashley Jensen","nm1935086,nm0857620,nm0000385,nm0421332","https://www.imdb.com/name/nm1935086,https://www.imdb.com/name/nm0857620,https://www.imdb.com/name/nm0000385,https://www.imdb.com/name/nm0421332",PG,Charlie Bean,nm0063769,https://www.imdb.com/name/nm0063769,"Adventure,Comedy,Drama",,48        ,tt8096832,Lady and the Tramp,https://www.imdb.com/title/tt8096832,The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,6.3,103 min,12675,2019
"Oscar Isaac,Charlize Theron,Chloe Grace Moretz,Finn Wolfhard","nm1209966,nm0000234,nm1631269,nm6016511","https://www.imdb.com/name/nm1209966,https://www.imdb.com/name/nm0000234,https://www.imdb.com/name/nm1631269,https://www.imdb.com/name/nm6016511",PG,"Conrad Vernon,Greg Tiernan","nm0970447,nm0862911","https://www.imdb.com/name/nm0970447,https://www.imdb.com/name/nm0862911","Animation,Comedy,Family",$100.04M,46        ,tt1620981,The Addams Family,https://www.imdb.com/title/tt1620981,The eccentrically macabre family moves to a bland suburb where Wednesday Addams' friendship with the daughter of a hostile and conformist local reality show host exacerbates conflict between the families.,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,5.8,86 min,20449,2019
"Taylor Russell,Kelvin Harrison Jr.,Alexa Demie,Bill Wise","nm5347988,nm5123156,nm7051533,nm0936315","https://www.imdb.com/name/nm5347988,https://www.imdb.com/name/nm5123156,https://www.imdb.com/name/nm7051533,https://www.imdb.com/name/nm0936315",R,Trey Edward Shults,nm4099092,https://www.imdb.com/name/nm4099092,"Drama,Romance,Sport",,80        ,tt8652728,Waves,https://www.imdb.com/title/tt8652728,"Traces the journey of a suburban family - led by a well-intentioned but domineering father - as they navigate love, forgiveness, and coming together in the aftermath of a loss.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,7.6,135 min,11505,2019
"Mark Rylance,Johnny Depp,Robert Pattinson,Gana Bayarsaikhan","nm0753314,nm0000136,nm1500155,nm7232418","https://www.imdb.com/name/nm0753314,https://www.imdb.com/name/nm0000136,https://www.imdb.com/name/nm1500155,https://www.imdb.com/name/nm7232418",,Ciro Guerra,nm1458734,https://www.imdb.com/name/nm1458734,Drama,,55        ,tt6149154,Waiting for the Barbarians,https://www.imdb.com/title/tt6149154,A Magistrate working in a distant outpost begins to question his loyalty to the empire.,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,6.1,112 min,350,2019
"Elizabeth Lail,Jordan Calloway,Talitha Eliana Bateman,Peter Facinelli","nm5634768,nm1490195,nm5145057,nm0004906","https://www.imdb.com/name/nm5634768,https://www.imdb.com/name/nm1490195,https://www.imdb.com/name/nm5145057,https://www.imdb.com/name/nm0004906",PG-13,Justin Dec,nm2280148,https://www.imdb.com/name/nm2280148,"Horror,Thriller",,31        ,tt10039344,Countdown,https://www.imdb.com/title/tt10039344,"When a nurse downloads an app that claims to predict the moment a person will die, it tells her she only has three days to live. With the clock ticking and a figure haunting her, she must find a way to save her life before time runs out.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,5.4,90 min,18119,2019
"Jay Baruchel,America Ferrera,F. Murray Abraham,Cate Blanchett","nm0059431,nm1065229,nm0000719,nm0000949","https://www.imdb.com/name/nm0059431,https://www.imdb.com/name/nm1065229,https://www.imdb.com/name/nm0000719,https://www.imdb.com/name/nm0000949",PG,Dean DeBlois,nm0213450,https://www.imdb.com/name/nm0213450,"Animation,Action,Adventure",$160.80M,71        ,tt2386490,How to Train Your Dragon: The Hidden World,https://www.imdb.com/title/tt2386490,"When Hiccup discovers Toothless isn't the only Night Fury, he must seek ""The Hidden World"", a secret Dragon Utopia before a hired tyrant named Grimmel finds it first.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,7.5,104 min,93415,2019
"Alexandra Daddario,Tyler Hoechlin,Laverne Cox,Kimiko Glenn","nm1275259,nm0388382,nm1209545,nm4733752","https://www.imdb.com/name/nm1275259,https://www.imdb.com/name/nm0388382,https://www.imdb.com/name/nm1209545,https://www.imdb.com/name/nm4733752",,Elise Duran,nm1435237,https://www.imdb.com/name/nm1435237,"Comedy,Romance",$0.03M,35        ,tt8707922,Can You Keep a Secret?,https://www.imdb.com/title/tt8707922,"Thinking they're about to crash, Emma spills her secrets to a stranger on a plane. At least, she thought he was a stranger...Until she later meets Jack, her company's young CEO, who now knows every humiliating detail about her. Based on the blockbuster NYT bestseller.",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,5.3,94 min,7060,2019
"Chloe Bennet,Albert Tsai,Tenzing Norgay Trainor,Joseph Izzo","nm4032297,nm5294965,nm5529735,nm1660488","https://www.imdb.com/name/nm4032297,https://www.imdb.com/name/nm5294965,https://www.imdb.com/name/nm5529735,https://www.imdb.com/name/nm1660488",PG,"Todd Wilderman,Jill Culton","nm1392282,nm0191717","https://www.imdb.com/name/nm1392282,https://www.imdb.com/name/nm0191717","Animation,Adventure,Comedy",$60.72M,61        ,tt6324278,Abominable,https://www.imdb.com/title/tt6324278,Three teenagers must help a Yeti return to his family while avoiding a wealthy man and a zoologist who want him for their own needs.,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,7,97 min,23392,2019
